4,2,1908/2/15,2968
1,3,1908/3/7,2989
14,11,1908/3/8,2990
4,1,1908/3/14,2996
3,2,1908/3/16,2998
10,12,1908/3/29,3011
1,2,1908/4/4,3017
8,13,1908/4/5,3018
14,16,1908/4/5,3018
3,4,1908/4/11,3024
11,10,1908/4/12,3025
12,10,1908/4/26,3039
7,8,1908/5/3,3046
12,11,1908/5/10,3053
7,2,1908/6/6,3080
7,16,1908/6/7,3081
7,2,1908/6/8,3082
8,2,1908/6/10,3084
13,2,1908/6/13,3087
15,19,1908/7/12,3116
6,9,1908/8/15,3150
9,6,1908/9/13,3179
9,6,1908/10/4,3200
12,15,1908/10/25,3221
10,15,1908/10/26,3222
8,7,1908/11/1,3228
2,4,1909/2/13,3332
3,1,1909/3/1,3348
2,3,1909/3/15,3362
1,4,1909/3/15,3362
4,3,1909/3/20,3367
10,12,1909/3/21,3368
2,1,1909/4/3,3381
16,14,1909/4/4,3382
8,16,1909/4/4,3382
12,10,1909/4/25,3403
7,8,1909/5/2,3410
10,11,1909/5/9,3417
8,2,1909/5/29,3437
8,7,1909/5/30,3438
8,2,1909/5/31,3439
7,2,1909/6/1,3440
9,6,1909/8/15,3515
6,9,1909/9/19,3550
9,6,1909/10/10,3571
4,2,1910/2/12,3696
1,3,1910/3/5,3717
10,12,1910/3/13,3725
3,2,1910/3/14,3726
4,1,1910/3/19,3731
1,2,1910/4/2,3745
11,10,1910/4/3,3746
14,16,1910/4/3,3746
12,10,1910/4/10,3753
3,4,1910/4/11,3754
12,16,1910/4/24,3767
7,8,1910/5/1,3774
17,11,1910/5/15,3788
16,10,1910/5/16,3789
8,17,1910/5/26,3799
9,18,1910/5/27,3800
18,6,1910/5/29,3802
9,18,1910/6/5,3809
9,6,1910/6/12,3816
6,9,1910/8/15,3880
18,9,1910/9/11,3907
19,15,1910/9/11,3907
16,12,1910/10/16,3942
8,7,1910/11/6,3963
9,6,1910/11/13,3970
9,6,1910/11/27,3984
11,8,1911/1/1,4019
17,8,1911/1/6,4024
14,8,1911/1/8,4026
4,3,1911/1/28,4046
2,4,1911/2/11,4060
3,1,1911/3/6,4083
2,3,1911/3/13,4090
1,4,1911/3/18,4095
10,12,1911/3/19,4096
16,14,1911/3/26,4103
2,1,1911/4/1,4109
12,10,1911/4/2,4110
11,17,1911/4/9,4117
10,16,1911/4/23,4131
14,11,1911/4/23,4131
10,11,1911/4/30,4138
7,8,1911/5/7,4145
17,14,1911/5/7,4145
14,17,1911/5/21,4159
15,16,1911/6/18,4187
9,6,1911/8/15,4245
15,19,1911/9/17,4278
6,9,1911/9/17,4278
6,9,1911/10/8,4299
16,7,1911/10/9,4300
9,6,1911/10/22,4313
20,15,1911/10/22,4313
16,15,1911/10/29,4320
8,14,1911/10/29,4320
21,11,1911/10/29,4320
6,9,1911/10/29,4320
8,7,1911/11/5,4327
16,8,1911/12/17,4369
11,10,1912/1/28,4411
4,2,1912/2/10,4424
11,14,1912/2/18,4432
10,14,1912/2/20,4434
1,3,1912/3/2,4445
10,12,1912/3/10,4453
3,2,1912/3/11,4454
4,1,1912/3/16,4459
17,11,1912/3/17,4460
1,2,1912/3/23,4466
12,16,1912/3/24,4467
3,4,1912/4/13,4487
8,16,1912/4/14,4488
12,10,1912/4/28,4502
7,8,1912/5/5,4509
14,16,1912/5/5,4509
19,15,1912/6/16,4551
15,8,1912/6/20,4555
19,8,1912/6/23,4558
15,20,1912/6/27,4562
19,22,1912/7/3,4568
22,8,1912/7/12,4577
22,8,1912/7/14,4579
6,9,1912/8/15,4611
6,9,1912/8/25,4621
9,6,1912/9/22,4649
9,6,1912/10/6,4663
23,16,1912/10/6,4663
8,7,1912/11/3,4691
15,19,1912/11/3,4691
16,12,1912/11/17,4705
6,9,1912/12/1,4719
17,7,1912/12/22,4740
11,17,1913/1/12,4761
4,3,1913/1/18,4767
4,2,1913/2/15,4795
10,11,1913/2/16,4796
3,1,1913/3/3,4811
10,12,1913/3/9,4817
14,11,1913/3/9,4817
4,1,1913/3/15,4823
2,3,1913/3/17,4825
2,1,1913/4/5,4844
11,21,1913/4/20,4859
12,10,1913/4/20,4859
7,8,1913/4/27,4866
17,10,1913/5/1,4870
22,15,1913/5/4,4873
14,10,1913/5/4,4873
16,14,1913/5/18,4887
8,15,1913/5/18,4887
23,15,1913/5/25,4894
15,19,1913/6/8,4908
9,6,1913/6/15,4915
7,17,1913/6/15,4915
9,6,1913/7/9,4939
9,6,1913/8/15,4976
9,6,1913/8/31,4992
22,19,1913/9/14,5006
18,9,1913/9/21,5013
15,23,1913/10/5,5027
6,9,1913/10/5,5027
16,23,1913/10/26,5048
8,7,1913/10/26,5048
19,15,1913/10/26,5048
6,9,1913/10/26,5048
10,14,1913/11/2,5055
10,16,1913/11/23,5076
17,7,1914/1/11,5125
3,4,1914/1/19,5133
11,10,1914/1/25,5139
21,11,1914/2/8,5153
2,4,1914/2/14,5159
1,3,1914/2/28,5173
11,14,1914/3/8,5181
4,1,1914/3/14,5187
10,12,1914/3/15,5188
3,2,1914/3/16,5189
17,11,1914/3/29,5202
17,14,1914/4/5,5209
12,16,1914/4/5,5209
12,10,1914/4/26,5230
7,8,1914/5/3,5237
23,12,1914/5/17,5251
14,17,1914/5/17,5251
15,20,1914/5/24,5258
8,11,1914/5/31,5265
15,8,1914/6/21,5286
19,15,1914/6/28,5293
15,22,1914/7/5,5300
19,22,1914/7/12,5307
6,9,1914/8/30,5356
9,6,1914/9/13,5370
9,24,1914/9/20,5377
9,24,1914/9/27,5384
8,7,1914/10/4,5391
15,19,1914/10/25,5412
7,8,1914/11/8,5426
17,14,1915/1/31,5510
8,7,1915/5/2,5601
7,8,1915/5/30,5629
23,15,1915/6/6,5636
19,15,1915/6/27,5657
6,9,1915/7/18,5678
9,6,1915/8/15,5706
6,9,1915/9/12,5734
23,19,1915/9/19,5741
7,8,1915/10/3,5755
15,19,1915/10/24,5776
15,23,1915/10/31,5783
8,7,1915/11/7,5790
7,8,1916/5/7,5972
23,15,1916/6/4,6000
8,7,1916/6/4,6000
19,23,1916/6/25,6021
18,6,1916/7/2,6028
15,19,1916/7/2,6028
9,18,1916/7/6,6032
24,18,1916/7/8,6034
9,24,1916/7/10,6036
9,18,1916/7/12,6038
24,6,1916/7/12,6038
6,18,1916/7/14,6040
9,6,1916/7/17,6043
6,24,1916/7/18,6044
9,6,1916/8/15,6072
6,9,1916/8/15,6072
15,5,1916/8/20,6077
19,5,1916/9/3,6091
9,6,1916/10/1,6119
8,7,1916/10/1,6119
19,15,1916/10/1,6119
6,9,1916/10/1,6119
15,23,1916/10/8,6126
23,19,1916/10/15,6133
6,9,1916/10/29,6147
7,8,1916/11/5,6154
7,8,1917/5/6,6336
25,46,1917/5/7,6337
23,15,1917/6/3,6364
8,7,1917/6/3,6364
19,23,1917/6/17,6378
7,8,1917/7/15,6406
6,9,1917/7/18,6409
9,6,1917/8/15,6437
15,19,1917/8/19,6441
6,9,1917/9/2,6455
19,15,1917/9/16,6469
6,18,1917/9/30,6483
9,24,1917/10/3,6486
9,18,1917/10/6,6489
23,19,1917/10/7,6490
8,7,1917/10/7,6490
6,24,1917/10/7,6490
24,18,1917/10/12,6495
15,23,1917/10/14,6497
6,9,1917/10/14,6497
6,24,1917/10/16,6499
7,8,1917/11/4,6518
14,7,1917/12/23,6567
14,7,1917/12/26,6570
8,7,1918/4/14,6679
7,14,1918/5/9,6704
8,14,1918/5/12,6707
15,19,1918/5/26,6721
7,8,1918/6/2,6728
23,15,1918/6/2,6728
19,23,1918/6/16,6742
6,9,1918/7/18,6774
6,9,1918/7/28,6784
9,6,1918/8/15,6802
9,6,1918/8/25,6812
19,15,1918/9/15,6833
